?qlexid	?qp	?qo
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:rootClass"	"aama:WCC"
"aama:IDa1cc7305-13fc-4b67-80e9-999900e18503"	"aama:stemClass"	"aama:A2"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"a"	"aama:lexid"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:dervStem"	"aama:S"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:gloss"	"desolate"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:lang"	"aama:geez"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:lemma"	"abdäw-ä"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:lexlabel"	"bdwS"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:pos"	"aama:verb"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:rootClass"	"aama:CCW"
"aama:IDacdf192a-4e07-458e-8e22-3f60eeda681e"	"aama:stemClass"	"aama:A2"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"a"	"aama:lexid"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:dervStem"	"aama:S"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:gloss"	"fall"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:lang"	"aama:geez"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:lemma"	"awdäq-ä"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:lexlabel"	"wdqS"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:pos"	"aama:verb"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:rootClass"	"aama:WCC"
"aama:IDae23c12b-4bcf-4f8b-b0be-d3bc9f06f1b2"	"aama:stemClass"	"aama:A2"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"a"	"aama:lexid"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:dervStem"	"aama:T"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:gloss"	"corrupt"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:lang"	"aama:geez"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:lemma"	"tämasän-ä"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:lexlabel"	"msnT"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:pos"	"aama:verb"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:rootClass"	"aama:CCC"
"aama:IDb12054cf-b196-4f33-933b-13d9d1a9d233"	"aama:stemClass"	"aama:L"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"a"	"aama:lexid"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:dervStem"	"aama:S"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:gloss"	"finish"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:lang"	"aama:geez"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:lemma"	"afä?äm-ä"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:lexlabel"	"fs'mS"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:pos"	"aama:verb"
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:rootClass"	"aama:CCC"
