?pdgmlabel	?prop1	?val1
"geez-VCCCBA1Pres"	"ns#type"	"Term"
"geez-VCCCBA1Pres"	"number"	"pl"
"geez-VCCCBA1Pres"	"number"	"sg"
"geez-VCCCBA1Pres"	"person"	"p1"
"geez-VCCCBA1Pres"	"person"	"p2"
"geez-VCCCBA1Pres"	"person"	"p3"
"geez-VCCCBA1Pres"	"pos"	"verb"
"geez-VCCCBA1Pres"	"rootClass"	"CCC"
"geez-VCCCBA1Pres"	"stemClass"	"A1"
"geez-VCCCBA1Pres"	"tam"	"present"
"geez-VCCWBA2Pres"	"dervStem"	"B"
"geez-VCCWBA2Pres"	"gender"	"f"
"geez-VCCWBA2Pres"	"gender"	"m"
"geez-VCCWBA2Pres"	"gender"	"⊤"
"geez-VCCWBA2Pres"	"ns#type"	"Term"
"geez-VCCWBA2Pres"	"number"	"pl"
"geez-VCCWBA2Pres"	"number"	"sg"
"geez-VCCWBA2Pres"	"person"	"p1"
"geez-VCCWBA2Pres"	"person"	"p2"
"geez-VCCWBA2Pres"	"person"	"p3"
"geez-VCCWBA2Pres"	"pos"	"verb"
"geez-VCCWBA2Pres"	"rootClass"	"CCW"
"geez-VCCWBA2Pres"	"stemClass"	"A2"
"geez-VCCWBA2Pres"	"tam"	"present"
"geez-VCCCSPast"	"dervStem"	"S"
"geez-VCCCSPast"	"gender"	"f"
"geez-VCCCSPast"	"gender"	"m"
"geez-VCCCSPast"	"gender"	"⊤"
"geez-VCCCSPast"	"ns#type"	"Term"
"geez-VCCCSPast"	"number"	"pl"
"geez-VCCCSPast"	"number"	"sg"
"geez-VCCCSPast"	"person"	"p1"
"geez-VCCCSPast"	"person"	"p2"
"geez-VCCCSPast"	"person"	"p3"
"geez-VCCCSPast"	"pos"	"verb"
"geez-VCCCSPast"	"rootClass"	"CCC"
"geez-VCCCSPast"	"tam"	"past"
"geez-VCCWBA2Juss"	"dervStem"	"B"
"geez-VCCWBA2Juss"	"gender"	"f"
"geez-VCCWBA2Juss"	"gender"	"m"
"geez-VCCWBA2Juss"	"gender"	"⊤"
"geez-VCCWBA2Juss"	"ns#type"	"Term"
"geez-VCCWBA2Juss"	"number"	"pl"
"geez-VCCWBA2Juss"	"number"	"sg"
"geez-VCCWBA2Juss"	"person"	"p1"
"geez-VCCWBA2Juss"	"person"	"p2"
"geez-VCCWBA2Juss"	"person"	"p3"
"geez-VCCWBA2Juss"	"pos"	"verb"
"geez-VCCWBA2Juss"	"rootClass"	"CCW"
"geez-VCCWBA2Juss"	"stemClass"	"A2"
"geez-VCCWBA2Juss"	"tam"	"jussive"
"geez-VCCYBA2Pres"	"dervStem"	"B"
"geez-VCCYBA2Pres"	"gender"	"f"
"geez-VCCYBA2Pres"	"gender"	"m"
"geez-VCCYBA2Pres"	"gender"	"⊤"
"geez-VCCYBA2Pres"	"ns#type"	"Term"
"geez-VCCYBA2Pres"	"number"	"pl"
"geez-VCCYBA2Pres"	"number"	"sg"
"geez-VCCYBA2Pres"	"person"	"p1"
