?pos	?property	?value	?pdgmlabel
"verb"	"stemClass"	"A1"	"geez-VWCCBA1Pres"
"verb"	"stemClass"	"A2"	"geez-VCCCBA2Imprtv"
"verb"	"stemClass"	"A2"	"geez-VCCCBA2Juss"
"verb"	"stemClass"	"A2"	"geez-VCCCBA2Past"
"verb"	"stemClass"	"A2"	"geez-VCCCBA2Pres"
"verb"	"stemClass"	"A2"	"geez-VCCWBA2Imprtv"
"verb"	"stemClass"	"A2"	"geez-VCCWBA2Juss"
"verb"	"stemClass"	"A2"	"geez-VCCWBA2Past"
"verb"	"stemClass"	"A2"	"geez-VCCWBA2Pres"
"verb"	"stemClass"	"A2"	"geez-VCCYBA2Imprtv"
"verb"	"stemClass"	"A2"	"geez-VCCYBA2Juss"
"verb"	"stemClass"	"A2"	"geez-VCCYBA2Past"
"verb"	"stemClass"	"A2"	"geez-VCCYBA2Pres"
"verb"	"stemClass"	"A2"	"geez-VVerbStems"
"verb"	"stemClass"	"A2"	"geez-VWCCBA2Imprtv"
"verb"	"stemClass"	"A2"	"geez-VWCCBA2Juss"
"verb"	"stemClass"	"A2"	"geez-VWCCBA2Past"
"verb"	"stemClass"	"A2"	"geez-VWCCBA2Pres"
"verb"	"stemClass"	"D"	"geez-VVerbStems"
"verb"	"stemClass"	"L"	"geez-VVerbStems"
"verb"	"tam"	"imperative"	"geez-VCCCBA1Imprtv"
"verb"	"tam"	"imperative"	"geez-VCCCBA2Imprtv"
"verb"	"tam"	"imperative"	"geez-VCCCSImprtv"
"verb"	"tam"	"imperative"	"geez-VCCCTImprtv"
"verb"	"tam"	"imperative"	"geez-VCCWBA1Imprtv"
"verb"	"tam"	"imperative"	"geez-VCCWBA2Imprtv"
"verb"	"tam"	"imperative"	"geez-VCCYBA1Imprtv"
"verb"	"tam"	"imperative"	"geez-VCCYBA2Imprtv"
"verb"	"tam"	"imperative"	"geez-VCWCBAImprtv"
"verb"	"tam"	"imperative"	"geez-VCYCBAImprtv"
"verb"	"tam"	"imperative"	"geez-VWCCBA1Imprtv"
"verb"	"tam"	"imperative"	"geez-VWCCBA2Imprtv"
"verb"	"tam"	"jussive"	"geez-VCCCBA1Juss"
"verb"	"tam"	"jussive"	"geez-VCCCBA2Juss"
"verb"	"tam"	"jussive"	"geez-VCCCSJuss"
"verb"	"tam"	"jussive"	"geez-VCCCTJuss"
"verb"	"tam"	"jussive"	"geez-VCCWBA1Juss"
"verb"	"tam"	"jussive"	"geez-VCCWBA2Juss"
"verb"	"tam"	"jussive"	"geez-VCCYBA1Juss"
"verb"	"tam"	"jussive"	"geez-VCCYBA2Juss"
"verb"	"tam"	"jussive"	"geez-VCWCBAJuss"
"verb"	"tam"	"jussive"	"geez-VCYCBAJuss"
"verb"	"tam"	"jussive"	"geez-VVerbStems"
"verb"	"tam"	"jussive"	"geez-VWCCBA1Juss"
"verb"	"tam"	"jussive"	"geez-VWCCBA2Juss"
"verb"	"tam"	"past"	"geez-VCCCBA1Past"
"verb"	"tam"	"past"	"geez-VCCCBA2Past"
"verb"	"tam"	"past"	"geez-VCCCSPast"
"verb"	"tam"	"past"	"geez-VCCCTPast"
"verb"	"tam"	"past"	"geez-VCCWBA1Past"
"verb"	"tam"	"past"	"geez-VCCWBA2Past"
"verb"	"tam"	"past"	"geez-VCCYBA1Past"
"verb"	"tam"	"past"	"geez-VCCYBA2Past"
"verb"	"tam"	"past"	"geez-VCWCBAPast"
"verb"	"tam"	"past"	"geez-VCYCBAPast"
"verb"	"tam"	"past"	"geez-VVerbStems"
"verb"	"tam"	"past"	"geez-VWCCBA1Past"
"verb"	"tam"	"past"	"geez-VWCCBA2Past"
"verb"	"tam"	"present"	"geez-VCCCBA1Pres"
"verb"	"tam"	"present"	"geez-VCCCBA2Pres"
"verb"	"tam"	"present"	"geez-VCCCSPres"
"verb"	"tam"	"present"	"geez-VCCCTPres"
"verb"	"tam"	"present"	"geez-VCCWBA1Pres"
"verb"	"tam"	"present"	"geez-VCCWBA2Pres"
"verb"	"tam"	"present"	"geez-VCCYBA1Pres"
"verb"	"tam"	"present"	"geez-VCCYBA2Pres"
"verb"	"tam"	"present"	"geez-VCWCBAPres"
"verb"	"tam"	"present"	"geez-VCYCBAPres"
"verb"	"tam"	"present"	"geez-VVerbStems"
"verb"	"tam"	"present"	"geez-VWCCBA1Pres"
"verb"	"tam"	"present"	"geez-VWCCBA2Pres"
"verb"	"verbMorphClass"	"subjMarker"	"geez-VSubjMarker"
"verb"	"verbMorphClass"	"verbStems"	"geez-VVerbStems"
