	 	coptic-sahidic
suffType	 	arbore
suppletion	 	burji
synEnv	 	elmolo
tam	 	afar, akkadian-OB, alaaba, arbore, awngi, bayso, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, elmolo, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, oromo, rendille, saho, shinassha, sidaama, somali-standard, tsamakko, wolaytta, yaaku, yemsa
tamStemClass	 	beja-arteiga
tamStemForm	 	bayso
tamToken	 	afar
templ	 	yemsa
tense	 	arabic
tense1	 	gawwada
tense2	 	gawwada
tenseHead	 	hebrew
tenseName	 	saho
tensefutProx	 	alaaba
token	 	afar, akkadian-OB, alaaba, arabic, arbore, awngi, bayso, beja-amarʔar, beja-arteiga, beja-atmaan, beja-beniamer, beja-bishari, beja-hadendowa, bilin, boni, boni-jara, boni-kilii, burji, coptic-sahidic, dahalo, dhaasanac, dhaasanac-standard, egyptian-middle, elmolo, gawwada, gedeo, geez, hadiyya, hebrew, iraqw, kambaata, kemant, khamtanga, koorete, maale, oromo, rendille, saho, shinassha, sidaama, somali-standard, syriac, tsamakko, wolaytta, yaaku, yemsa
token-TAVowel1	 	hadiyya
token-TAVowel2	 	hadiyya
token-affix	 	beja-arteiga, elmolo
token-aspSuff	 	maale
token-aspectMarking	 	alaaba
token-aux	 	beja-atmaan, bilin, oromo, shinassha, wolaytta, yemsa
token-auxFunction	 	beja-atmaan
token-auxGloss	 	bilin
token-baseForm	 	kemant
token-baseGloss	 	beja-beniamer, koorete
token-baseShape	 	alaaba, beja-beniamer, koorete
token-beStem	 	maale
token-causGloss	 	beja-beniamer
token-causShape	 	beja-beniamer
token-caushape	 	alaaba
token-clauseSuff	 	maale
token-conjV	 	yemsa
token-coopGloss	 	beja-beniamer
token-coopShape	 	beja-beniamer
token-dervGloss	 	koorete
token-dervShape	 	beja-beniamer, koorete
token-encliticized	 	oromo
token-environment	 	hebrew
&token-environmet	 	syriac
token-example	 	beja-atmaan, saho
token-final	 	hadiyya
token-frequency	 	beja-atmaan
token-function	 	gawwada
?token-genF	 	sidaama
?token-genM	 	sidaama
token-gloss	 	alaaba, beja-arteiga, beja-atmaan, beja-bishari, beja-hadendowa, bilin, burji, dhaasanac, gawwada, khamtanga, koorete, saho, yaaku
token-glossNote	 	maale
token-lex	 	beja-atmaan, dhaasanac
token-main	 	beja-atmaan, oromo
token-medialVow	 	hadiyya, kambaata
token-note	 	beja-arteiga, beja-beniamer, bilin, boni-jara, boni-kilii, coptic-sahidic, dahalo, iraqw, shinassha, yemsa
token-notes	 	hadiyya, sidaama
token-numGloss	 	kemant, khamtanga
token-numPers	 	sidaama
token-occurrences	 	maale
token-onlyVerb	 	alaaba
token-passGloss	 	beja-beniamer
token-passShape	 	beja-beniamer
token-pdgmLex	 	yaaku
token-pers1	 	hadiyya, kambaata
token-pers2	 	hadiyya, kambaata
?token-pers2Basic	 	hadiyya
?token-pers2Past	 	hadiyya
token-persObj	 	iraqw
token-personMarkingFull	 	alaaba
token-personReduced	 	alaaba
token-pluralForm	 	beja-arteiga
&token-pref	 	akkadian-OB, geez, hebrew
token-prefix	 	arabic, yaaku
token-preverb	 	somali-standard
token-recipGloss	 	beja-beniamer
token-recipShape	 	beja-beniamer
token-reflGloss	 	beja-beniamer
token-reflShape	 	beja-beniamer
token-selBE	 	iraqw
token-selMood	 	iraqw
token-selTense	 	iraqw
token-selector	 	iraqw
token-selectorConst	 	iraqw
token-singularForm	 	beja-arteiga
token-stem	 	akkadian-OB, arabic, arbore, geez, hebrew
token-stemFinGem	 	kambaata
token-stemVowel	 	shinassha
token-structure	 	gawwada, maale, sidaama, yemsa
token-suff	 	akkadian-OB, geez, hebrew
token-suffShape	 	alaaba, burji, hadiyya, maale
token-suffix	 	arabic, arbore, beja-atmaan, bilin, dahalo, iraqw, shinassha, sidaama, tsamakko, wolaytta, yaaku, yemsa
token-suffixShapes	 	gawwada
token-template	 	dahalo, gawwada
token-tense	 	sidaama
token-translation	 	maale
token-vStem	 	maale
token-varPref	 	coptic-sahidic
token-verbGloss	 	beja-atmaan
token1	 	beja-atmaan, beja-bishari, kemant, somali-standard
token2	 	beja-atmaan, beja-bishari, kemant
tokenAux	 	koorete
tokenMain	 	koorete
tokenPro	 	burji, koorete
tokenSuff	 	burji
tokenType	 	afar, arbore, bayso, beja-arteiga, boni-jara, boni-kilii, burji, dhaasanac, kemant, oromo
token_IMPRS_HIY	 	iraqw
tokentoken-aux1	 	shinassha
tokentoken-aux1token-aux2	 	shinassha
transitivity	 	coptic-sahidic
transitivizingGloss	 	kambaata
type	 	beja-beniamer, boni-kilii, burji, dahalo, gedeo
vClass	 	shinassha, wolaytta
vSubjSet	 	kemant
valence	 	alaaba
varB	 	awngi
varClass	 	awngi
verbClass	 	burji
verbMorphClass	 	akkadian-OB, alaaba, arabic, awngi, bayso, beja-atmaan, beja-bishari, beja-hadendowa, bilin, boni-jara, boni-kilii, burji, dahalo, dhaasanac, elmolo, gawwada, geez, hadiyya, hebrew, iraqw, kambaata, khamtanga, koorete, maale, saho, shinassha, sidaama, tsamakko, wolaytta, yaaku, yemsa
verbType	 	dhaasanac
voice	 	arabic
