?conjClass	?derivedStem	?derivedStemAug	?formType	?rootClass	?tamStemClass	?token
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"PastClass"	"⊤"
"Prefix"	"S"	"Intensive"	"Stem"	"CVC"	"PresClass"	"⊤"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"AoristClass"	"-s-dibil-"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"ModClass"	"-s-dibil-"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"NegClass"	"-s-dabiil-"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"PartClass"	"si-dabl-"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"PastClass"	"-s-dabil-"
"Prefix"	"S"	"Simple"	"Stem"	"CCC"	"PresClass"	"-s-dabiil-"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"AoristClass"	"-s-dig-"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"ModClass"	"-s-diga-"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"NegClass"	"-s-dagi"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"PartClass"	"si-dag-"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"PastClass"	"-s-dag-"
"Prefix"	"S"	"Simple"	"Stem"	"CCY"	"PresClass"	"-s-dagi-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"AoristClass"	"-s-uu-liw-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"ModClass"	"-s-uu-liw-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"NegClass"	"-s-oo-liiw-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"PartClass"	"s-oo-lw-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"PastClass"	"-s-oo-liw-"
"Prefix"	"S"	"Simple"	"Stem"	"CVC"	"PresClass"	"-s-oo-liiw- "
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"AoristClass"	"-t-diibil-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"ModClass"	"-t-diibil-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"NegClass"	"-t-daabiil-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"PartClass"	"?at-daab(aa)l-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"PastClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CCC"	"PresClass"	"-t-daabiil-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"AoristClass"	"-t-daagi-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"ModClass"	"-t-daaga-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"NegClass"	"-t-daagi-"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"PartClass"	"?at-daag(aa)y"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"PastClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CCY"	"PresClass"	"-t-daagi- "
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"AoristClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"ModClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"NegClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"PartClass"	"⊤"
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"PastClass"	"⊤"
