?langLabel	?conjClass	?conjType	?derivedStem	?derivedStemAug	?formType	?lexnote	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"ModClass"	"-t-diga"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"NegClass"	"-t-dagi-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"PartClass"	"?at-dag(aa)y"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"PastClass"	"-t-dagaay-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CCY"		"PresClass"	"-t-dagi-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-t-uu-liw-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"ModClass"	"-t-uu-liw-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"NegClass"	"-t-oo-liiw-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"PartClass"	"?at-oo-laaw-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"PastClass"	"-t-oo-laaw-"
"Beja-arteiga"	"Prefix"		"T"	"Simple"	"Stem"						"CVC"		"PresClass"	"-t-oo-liiw- "
"Beja-arteiga"	"Suffix"		"B"				"Participle"	"Conjunctive"						"tam-eetì"
"Beja-arteiga"	"Suffix"		"B"				"Participle"	"Future"						"tam-át"
"Beja-arteiga"	"Suffix"		"B"				"Participle"	"Negative"						"baa-tam-ày"
"Beja-arteiga"	"Suffix"		"B"				"Participle"	"Past"						"tam-aà"
"Beja-arteiga"	"Suffix"		"B"				"Participle"	"Present"						"tam-ée"
"Beja-arteiga"	"Suffix"		"B"				"participle exponents"	"Conjunctive"						"tam-eetì"
"Beja-arteiga"	"Suffix"		"B"				"participle exponents"	"Future"						"tam-át"
"Beja-arteiga"	"Suffix"		"B"				"participle exponents"	"Negative"						"baa-tam-ày"
"Beja-arteiga"	"Suffix"		"B"				"participle exponents"	"Past"						"tam-aà"
"Beja-arteiga"	"Suffix"		"B"				"participle exponents"	"Present"						"tam-ée"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"kileew-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"šuum-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"tam-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"gwa?-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"doob-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"raat-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"nuun-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"?ad-"
"Beja-arteiga"	"Suffix"		"B"	"Simple"					"Structure"		"Invariable"			"rih-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"tam-am-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"raat-am-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"hug-am-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"fid-am-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"reeh-am-"
"Beja-arteiga"	"Suffix"		"M"	"Simple"					"Structure"		"Invariable"			"?eegrim-am-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"kadaw-š-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"?ooš-iš-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"tam-s-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"?ibaab-s-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"rih-is-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"?as-is-"
"Beja-arteiga"	"Suffix"		"S"	"Simple"					"Structure"		"Invariable"			"hamašee-š-"
"Beja-arteiga"	"Suffix"		"S2"	"Simple"					"Structure"		"Invariable"			"hamašee-šiiš-"
"Beja-arteiga"	"Suffix"		"S2"	"Simple"					"Structure"		"Invariable"			"tam-siis-"
"Beja-arteiga"	"Suffix"		"SM"	"Intensive"					"Structure"		"Invariable"			"daab-sam-"
"Beja-arteiga"	"Suffix"		"SM"	"Intensive"					"Structure"		"Invariable"			"yak-sam-"
"Beja-arteiga"	"Suffix"		"SM"	"Intensive"					"Structure"		"Invariable"			"?adum-sam-"
"Beja-arteiga"	"Suffix"		"SM"	"Intensive"					"Structure"		"Invariable"			"tam-sam-"
