?langLabel	?conjClass	?conjType	?derivedStem	?derivedStemAug	?formType	?lexnote	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PartClass"	"?am-dag(aa)y"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PastClass"	"-m-dagaay-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CCY"		"PresClass"	"-m-dagi-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-m-uu-liw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"ModClass"	"-m-uu-liw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"NegClass"	"-m-oo-liiw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PartClass"	"?am-oo-laaw-"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PastClass"	"-m-oo-laaw"
"Beja-arteiga"	"Prefix"		"M"	"Simple"	"Stem"						"CVC"		"PresClass"	"-m-oo-liiw- "
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-šbab-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-skat-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-mkar-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCC"			"-gnaf-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCY"			"-hme-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CCY"			"-dge-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-sar-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-sa?-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-faf-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-man-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"					"Structure"		"CVC"			"-law-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"ModClass"	"-t-dibil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"NegClass"	"-dbaal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PartClass"	"dibal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PastClass"	"-dbal-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCC"		"PresClass"	"-t-dabiil-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-t-dig- "
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"ModClass"	"-t-diga-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"NegClass"	"-dgaay-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PartClass"	"dige-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PastClass"	"-dge-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CCY"		"PresClass"	"-t-dagi-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-ii-t-liw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"ModClass"	"-ii-t-liw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"NegClass"	"-laaw-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"PartClass"	"law-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"PastClass"	"-law-"
"Beja-arteiga"	"Prefix"		"R"	"Simple"	"Stem"						"CVC"		"PresClass"	"-ee-t-liiw- "
"Beja-arteiga"	"Prefix"		"S"	"Intensive"					"Structure"		"CCC"			"-s-maasiw-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"					"Structure"		"CCY"			"-s-daag-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"					"Structure"		"CVC"			"-s-daar-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"AoristClass"	"-s-diibal-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"ModClass"	"-s-diibal-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"NegClass"	"-s-daabiil-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"PartClass"	"si-daabl-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"PastClass"	"-s-daabil-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCC"		"PresClass"	"-s-daabiil-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"AoristClass"	"-s-diig-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"ModClass"	"-s-diiga-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"NegClass"	"-s-daagi-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"PartClass"	"si-daag-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"PastClass"	"-s-daag-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CCY"		"PresClass"	"-s-daagi-"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"AoristClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"ModClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"NegClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"PartClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"PastClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Intensive"	"Stem"						"CVC"		"PresClass"	"⊤"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCC"			"-š-šabib-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCC"			"-š-rašid-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCC"			"-s-dabil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCC"			"-s-katim-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCY"			"-š-šagw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCY"			"-s-rakw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCY"			"-š-dam-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CCY"			"-s-dag-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CVC"			"-soo-bis-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CVC"			"-soo-liw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CVC"			"-šoo-dif-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"					"Structure"		"CVC"			"-soo-dir-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"AoristClass"	"-s-dibil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"ModClass"	"-s-dibil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"NegClass"	"-s-dabiil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"PartClass"	"si-dabl-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"PastClass"	"-s-dabil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCC"		"PresClass"	"-s-dabiil-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"AoristClass"	"-s-dig-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"ModClass"	"-s-diga-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"NegClass"	"-s-dagi"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"PartClass"	"si-dag-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"PastClass"	"-s-dag-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CCY"		"PresClass"	"-s-dagi-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-s-uu-liw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"ModClass"	"-s-uu-liw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"NegClass"	"-s-oo-liiw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"PartClass"	"s-oo-lw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"PastClass"	"-s-oo-liw-"
"Beja-arteiga"	"Prefix"		"S"	"Simple"	"Stem"						"CVC"		"PresClass"	"-s-oo-liiw- "
"Beja-arteiga"	"Prefix"		"S2"	"Simple"					"Structure"		"CCC"			"-sis-dabil-"
"Beja-arteiga"	"Prefix"		"S2"	"Simple"					"Structure"		"CCY"			"-sis-dag-"
"Beja-arteiga"	"Prefix"		"S2"	"Simple"					"Structure"		"CVC"			"-šišoo-dif-"
