?conjClass	?derivedStemAug	?formType	?multiLex	?nonFiniteForm	?participle	?pdgmType	?polarity	?rootClass	?tam	?tamStemClass	?token
"Prefix"	"Simple"	"Stem"						"CCY"		"NegClass"	"-dagì-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PartClass"	"digy-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PastClass"	"-dgì-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PresClass"	"-déeg-"
"Prefix"	"Simple"	"Stem"						"CCY"		"PresSgClass"	"-dangì-"
"Prefix"	"Simple"	"Stem"						"CVC"		"AoristClass"	"-ii-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"ModClass"	"-ii-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"NegClass"	"-líiw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PartClass"	"líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PastClass"	"-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PresClass"	"-ee-líw-"
"Prefix"	"Simple"	"Stem"						"CVC"		"PresSgClass"	"-nliiw- "
"Suffix"				"Participle"	"Conjunctive"						"tam-eetì"
"Suffix"				"Participle"	"Future"						"tam-át"
"Suffix"				"Participle"	"Negative"						"baa-tam-ày"
"Suffix"				"Participle"	"Past"						"tam-aà"
"Suffix"				"Participle"	"Present"						"tam-ée"
"Suffix"				"participle exponents"	"Conjunctive"						"tam-eetì"
"Suffix"				"participle exponents"	"Future"						"tam-át"
"Suffix"				"participle exponents"	"Negative"						"baa-tam-ày"
"Suffix"				"participle exponents"	"Past"						"tam-aà"
"Suffix"				"participle exponents"	"Present"						"tam-ée"
"Suffix"	"Simple"					"Structure"		"Invar"			"šuum-"
"Suffix"	"Simple"					"Structure"		"Invar"			"gwa?-"
"Suffix"	"Simple"					"Structure"		"Invar"			"raat-"
"Suffix"	"Simple"					"Structure"		"Invar"			"nuun-"
"Suffix"	"Simple"					"Structure"		"Invar"			"doob-"
"Suffix"	"Simple"					"Structure"		"Invar"			"rih-"
"Suffix"	"Simple"					"Structure"		"Invar"			"?ad-"
"Suffix"	"Simple"					"Structure"		"Invar"			"kileew-"
"Suffix"	"Simple"					"Structure"		"Invar"			"tam-"
