?pdgmlabel	?prop1	?val1
"wolaytta-VSmplAffInterrPast-oott"	"person"	"p2"
"wolaytta-VSmplAffInterrPast-oott"	"person"	"p3"
"wolaytta-VSmplAffInterrPast-oott"	"polarity"	"affirmative"
"wolaytta-VSmplAffInterrPast-oott"	"pos"	"verb"
"wolaytta-VSmplAffInterrPast-oott"	"tam"	"past"
"wolaytta-VSmplNegSubjAor-oott"	"complement"	"simple"
"wolaytta-VSmplNegSubjAor-oott"	"gender"	"f"
"wolaytta-VSmplNegSubjAor-oott"	"gender"	"m"
"wolaytta-VSmplNegSubjAor-oott"	"gender"	"⊤"
"wolaytta-VSmplNegSubjAor-oott"	"mood"	"subjunctivepdgmLex"
"wolaytta-VSmplNegSubjAor-oott"	"ns#type"	"Term"
"wolaytta-VSmplNegSubjAor-oott"	"number"	"pl"
"wolaytta-VSmplNegSubjAor-oott"	"number"	"sg"
"wolaytta-VSmplNegSubjAor-oott"	"person"	"p1"
"wolaytta-VSmplNegSubjAor-oott"	"person"	"p2"
"wolaytta-VSmplNegSubjAor-oott"	"person"	"p3"
"wolaytta-VSmplNegSubjAor-oott"	"polarity"	"negative"
"wolaytta-VSmplNegSubjAor-oott"	"pos"	"verb"
"wolaytta-VSmplNegSubjAor-oott"	"tam"	"aorist"
"wolaytta-VCompAffDesidPastMonoradical-m"	"complement"	"compound"
"wolaytta-VCompAffDesidPastMonoradical-m"	"gender"	"⊤"
"wolaytta-VCompAffDesidPastMonoradical-m"	"mood"	"desiderative"
"wolaytta-VCompAffDesidPastMonoradical-m"	"ns#type"	"Term"
"wolaytta-VCompAffDesidPastMonoradical-m"	"number"	"sg"
"wolaytta-VCompAffDesidPastMonoradical-m"	"person"	"p2"
"wolaytta-VCompAffDesidPastMonoradical-m"	"polarity"	"affirmative"
"wolaytta-VCompAffDesidPastMonoradical-m"	"pos"	"verb"
"wolaytta-VCompAffDesidPastMonoradical-m"	"tam"	"past"
"wolaytta-VCompAffDesidPastMonoradical-m"	"verbMorphClass"	"monoradical"
"wolaytta-VSmplAffGerundPerf-oott"	"complement"	"simple"
"wolaytta-VSmplAffGerundPerf-oott"	"gender"	"f"
"wolaytta-VSmplAffGerundPerf-oott"	"gender"	"m"
"wolaytta-VSmplAffGerundPerf-oott"	"gender"	"⊤"
"wolaytta-VSmplAffGerundPerf-oott"	"mood"	"gerund"
"wolaytta-VSmplAffGerundPerf-oott"	"ns#type"	"Term"
"wolaytta-VSmplAffGerundPerf-oott"	"number"	"pl"
"wolaytta-VSmplAffGerundPerf-oott"	"number"	"sg"
"wolaytta-VSmplAffGerundPerf-oott"	"person"	"p1"
"wolaytta-VSmplAffGerundPerf-oott"	"person"	"p2"
"wolaytta-VSmplAffGerundPerf-oott"	"person"	"p3"
"wolaytta-VSmplAffGerundPerf-oott"	"polarity"	"affirmative"
"wolaytta-VSmplAffGerundPerf-oott"	"pos"	"verb"
"wolaytta-VSmplAffGerundPerf-oott"	"tam"	"perfect"
"wolaytta-VSmplNegIndicAor-utt"	"complement"	"simple"
"wolaytta-VSmplNegIndicAor-utt"	"gender"	"f"
"wolaytta-VSmplNegIndicAor-utt"	"gender"	"m"
"wolaytta-VSmplNegIndicAor-utt"	"gender"	"⊤"
"wolaytta-VSmplNegIndicAor-utt"	"mood"	"indicative"
"wolaytta-VSmplNegIndicAor-utt"	"ns#type"	"Term"
"wolaytta-VSmplNegIndicAor-utt"	"number"	"pl"
"wolaytta-VSmplNegIndicAor-utt"	"number"	"sg"
"wolaytta-VSmplNegIndicAor-utt"	"person"	"p1"
"wolaytta-VSmplNegIndicAor-utt"	"person"	"p2"
"wolaytta-VSmplNegIndicAor-utt"	"person"	"p3"
"wolaytta-VSmplNegIndicAor-utt"	"polarity"	"negative"
"wolaytta-VSmplNegIndicAor-utt"	"pos"	"verb"
"wolaytta-VSmplNegIndicAor-utt"	"tam"	"aorist"
"wolaytta-VSmplNegRelImperf-maadd"	"complement"	"simple"
"wolaytta-VSmplNegRelImperf-maadd"	"gender"	"f"
"wolaytta-VSmplNegRelImperf-maadd"	"gender"	"m"
"wolaytta-VSmplNegRelImperf-maadd"	"gender"	"⊤"
"wolaytta-VSmplNegRelImperf-maadd"	"mood"	"relative"
"wolaytta-VSmplNegRelImperf-maadd"	"ns#type"	"Term"
"wolaytta-VSmplNegRelImperf-maadd"	"number"	"pl"
"wolaytta-VSmplNegRelImperf-maadd"	"number"	"sg"
"wolaytta-VSmplNegRelImperf-maadd"	"person"	"p1"
"wolaytta-VSmplNegRelImperf-maadd"	"person"	"p2"
"wolaytta-VSmplNegRelImperf-maadd"	"person"	"p3"
"wolaytta-VSmplNegRelImperf-maadd"	"polarity"	"negative"
"wolaytta-VSmplNegRelImperf-maadd"	"pos"	"verb"
"wolaytta-VSmplNegRelImperf-maadd"	"tam"	"imperfect"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"complement"	"simple"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"gender"	"⊤"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"mood"	"indicative"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"ns#type"	"Term"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"number"	"sg"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"person"	"p1"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"polarity"	"affirmative"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"pos"	"verb"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"tam"	"future"
"wolaytta-VSmplAffIndicFutMonoradical-b"	"verbMorphClass"	"monoradical"
"wolaytta-VSmplNegIndicAorProgr-oott"	"complement"	"simple"
"wolaytta-VSmplNegIndicAorProgr-oott"	"gender"	"f"
"wolaytta-VSmplNegIndicAorProgr-oott"	"gender"	"m"
"wolaytta-VSmplNegIndicAorProgr-oott"	"gender"	"⊤"
