?qlexid	?qp	?qo
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:lang"	"aama:wolaytta"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:lemma"	"doomm-"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:lexlabel"	"doomm"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:pos"	"aama:verb"
"aama:IDd37fc17f-01fe-47e2-b855-937aeb88d45c"	"aama:vClass"	"aama:aux"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"a"	"aama:lexid"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"aama:gloss"	"go"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"aama:lang"	"aama:wolaytta"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"aama:lemma"	"b-"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"aama:lexlabel"	"b"
"aama:IDd7b8598c-0722-4dc2-a036-c70eae07e6a2"	"aama:pos"	"aama:verb"
"aama:IDe35a5e0d-29d2-4666-8f54-6914e9b0c1f0"	"a"	"aama:lexid"
"aama:IDe35a5e0d-29d2-4666-8f54-6914e9b0c1f0"	"aama:gloss"	"come"
"aama:IDe35a5e0d-29d2-4666-8f54-6914e9b0c1f0"	"aama:lang"	"aama:wolaytta"
"aama:IDe35a5e0d-29d2-4666-8f54-6914e9b0c1f0"	"aama:lemma"	"y-"
"aama:IDe35a5e0d-29d2-4666-8f54-6914e9b0c1f0"	"aama:lexlabel"	"y"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"a"	"aama:lexid"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"aama:gloss"	"say"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"aama:lang"	"aama:wolaytta"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"aama:lemma"	"g-"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"aama:lexlabel"	"g"
"aama:IDf4024b54-7236-493a-a6ae-34a88cf87d0f"	"aama:pos"	"aama:verb"
